Sl No,Emplid,Campus ID,QUIZ 1
424,41120250145,2025A7PS0145H,4
425,41120250147,2025A7PS0147H,6
426,41120250148,2025A7PS0148H,4
427,41120250150,2025A7PS0150H,6
428,41120250151,2025A7PS0151H,16
429,41120250154,2025A7PS0154H,10
430,41120250155,2025A7PS0155H,2
431,41120250156,2025A7PS0156H,2
432,41120250157,2025A7PS0157H,12
433,41120250159,2025A7PS0159H,2
434,41120250161,2025A7PS0161H,8
435,41120250163,2025A7PS0163H,2
436,41120250171,2025A7PS0171H,6
437,41120250172,2025A7PS0172H,12
438,41120250176,2025A7PS0176H,16
439,41120250179,2025A7PS0179H,18
440,41120250180,2025A7PS0180H,4
441,41120250186,2025A7PS0186H,8
442,41120250187,2025A7PS0187H,
443,41120250189,2025A7PS0189H,8
444,41120250193,2025A7PS0193H,2
445,41120250194,2025A7PS0194H,8
446,41120250196,2025A7PS0196H,4
447,41120250200,2025A7PS0200H,0
448,41120250201,2025A7PS0201H,10
449,41120250203,2025A7PS0203H,8
450,41120250349,2025A7PS0349H,0
451,41120250350,2025A7PS0350H,4
452,41120250902,2025A7PS0902H,
453,41120250910,2025A7PS0910H,6
454,41120250913,2025A7PS0913H,2
455,41120250916,2025A7PS0916H,2
456,41120250921,2025A7PS0921H,2
457,41120250923,2025A7PS0923H,4
458,41120250924,2025A7PS0924H,4
459,41120250930,2025A7PS0930H,10
460,41120250931,2025A7PS0931H,6
461,41120250933,2025A7PS0933H,4
462,41120250936,2025A7PS0936H,6
463,41120250944,2025A7PS0944H,4
464,41120250946,2025A7PS0946H,2
465,41120250947,2025A7PS0947H,4
466,41120251018,2025A7PS1018H,6
467,41120251306,2025A7PS1306H,12
468,41120251335,2025A7PS1335H,12
469,41120252001,2025A7PS2001H,10
470,41120252002,2025A7PS2002H,0
471,41120252003,2025A7PS2003H,6
472,41120252005,2025A7PS2005H,0
473,41120252006,2025A7PS2006H,6
474,41120252008,2025A7PS2008H,2
475,41120252009,2025A7PS2009H,6
476,41120252011,2025A7PS2011H,16
477,41120252012,2025A7PS2012H,12
478,41120252013,2025A7PS2013H,2
479,41120252014,2025A7PS2014H,2
480,41120252016,2025A7PS2016H,6
481,41120252018,2025A7PS2018H,10
482,41120252019,2025A7PS2019H,0
483,41120252021,2025A7PS2021H,2
484,41120250314,2025A8PS0314H,4
485,41120250322,2025A8PS0322H,2
486,41120250324,2025A8PS0324H,2
487,41120250331,2025A8PS0331H,0
488,41120250332,2025A8PS0332H,2
489,41120250341,2025A8PS0341H,8
490,41120250343,2025A8PS0343H,10
491,41120250372,2025A8PS0372H,0
492,41120250377,2025A8PS0377H,0
493,41120250409,2025A8PS0409H,0
494,41120250433,2025A8PS0433H,8
495,41120250437,2025A8PS0437H,2
496,41120250446,2025A8PS0446H,0
497,41120250461,2025A8PS0461H,4
498,41120250462,2025A8PS0462H,4
